"","Number","ObserverName","ObserverType","Use","FocalDuration.s.","ScanFrequency","Date","SessionStartTime","FocalStartTime","FocalEndTime","FocalAnimal","FocalDuration","BehaviorCategory","Behavior","Actor","Subject","BehaviorStartTime","BehaviorStopTime","Duration"
"122",99,"Layla","Student","Research",900,60,"2017-04-15","12:59:35","13:21:48","13:36:48","Nt",15,"Affiliative","Groom","Nt","Sv","13:35:07","13:35:23",16
"160",13,"Amelia","Student","Research",900,60,"2017-04-21","14:35:41","14:35:49","14:50:49","Nb",15,"Affiliative","Groom","Nb","Nt","14:37:02","14:38:33",91
"161",13,"Amelia","Student","Research",900,60,"2017-04-21","14:35:41","14:35:49","14:50:49","Nb",15,"Affiliative","Groom","Nb","Nt","14:37:02","14:38:33",91
"362",113,"Layla","Student","Research",900,60,"2017-04-23","13:20:30","13:20:44","13:35:44","Nt",15,"Affiliative","Groom","Nt","Nr","13:21:33","13:22:04",31
"363",113,"Layla","Student","Research",900,60,"2017-04-23","13:20:30","13:20:44","13:35:44","Nt",15,"Affiliative","Groom","Nt","Nr","13:21:33","13:22:04",31
"366",112,"Layla","Student","Research",900,60,"2017-04-23","13:20:30","13:20:44","13:35:44","Nt",15,"Affiliative","Groom","Nt","Nb","13:22:37","13:23:38",61
"367",112,"Layla","Student","Research",900,60,"2017-04-23","13:20:30","13:20:44","13:35:44","Nt",15,"Affiliative","Groom","Nt","Nb","13:22:37","13:23:38",61
"374",114,"Layla","Student","Research",900,60,"2017-04-23","13:20:30","13:20:44","13:35:44","Nt",15,"Affiliative","Groom","Nt","Nw","13:29:17","13:31:03",106
"375",114,"Layla","Student","Research",900,60,"2017-04-23","13:20:30","13:20:44","13:35:44","Nt",15,"Affiliative","Groom","Nt","Nw","13:29:17","13:31:03",106
"384",111,"Layla","Student","Research",900,60,"2017-04-23","13:20:30","13:20:44","13:35:44","Nt",15,"Affiliative","Groom","Nb","Nt","13:34:02","13:34:22",20
"385",111,"Layla","Student","Research",900,60,"2017-04-23","13:20:30","13:20:44","13:35:44","Nt",15,"Affiliative","Groom","Nb","Nt","13:34:02","13:34:22",20
"1024",367,"Amelia","Student","Research",900,60,"2017-05-05","14:00:30","14:24:22","14:39:22","Nt",15,"Affiliative","Groom","Nt","Mt","14:33:09","14:34:08",59
"1033",369,"Amelia","Student","Research",900,60,"2017-05-05","14:00:30","14:24:22","14:39:22","Nt",15,"Affiliative","Groom","Nt","Nr","14:37:02","14:37:12",10
"1034",368,"Amelia","Student","Research",900,60,"2017-05-05","14:00:30","14:24:22","14:39:22","Nt",15,"Affiliative","Groom","Nt","Mt","14:37:17","14:38:14",57
